TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Page Count,Place
A00075,99837338,1654,STC 10066; ESTC S101528,Free,Church of England.,1597,"Capitula siue constitutiones ecclesiasticÃŒ_ per Archiepiscopum, episcopos, & reliquum clerum Cantuariensis prouinciÃŒ_ in synodo inchoata Londini vicesimo quinto die mensis Octobris, anno Domini millesimo quingentesimo nonagesimo septimo ... congregatos tractatÃŒ_, ac posteÃŒÃŠ per ipsam Regiam Maiestatem approbatÃŒ_ & confirmatÃŒ_, & vtrÃŒ_que prouinciÃŒ_ tam Cantuariensi quÃŒÃŠm Eboracensi vt diligentiÃŒ_s obseruentur, eadem regia authoritate sub magno Sigillo AngliÃŒ_ promulgatÃŒ_.; Constitutions and canons. 1597",Church of England -- Government -- Early works to 1800.; Ecclesiastical law -- Great Britain -- Early works to 1800.,30,Londini
A00089,99835843,69,STC 10080; ESTC R212834,Free,Church of England.,1640,"Constitutions and canons ecclesiasticall; treated upon by the Archbishops of Canterbury and York, presidents of the convocations for the respective provinces of Canterbury and York, and the rest of the bishops and clergie of those provinces; and agreed upon with the Kings Majesties licence in their severall synods begun at London and York. 1640 ...; Constitutions and canons ecclesiastical",Church of England -- Government -- Early works to 1800.; Ecclesiastical law -- Great Britain -- Early works to 1800.,54,London
A00091,99844394,9202,STC 10085; ESTC S108738,Free,"Church of England.; Henry VIII, King of England, 1491-1547.",1538,Iniunctions gyuen by th [sic] auctoritie of the kynges highnes to the clergie of this his realme; Injunctions. 1538,,6,London
A00092,99847167,12190,STC 10086; ESTC S111907,Free,"Church of England.; Henry VIII, King of England, 1491-1547.",1538,Iniunctions for the clerge Exhibite [blank] die mensis [blank] Anno d[omi]ni M.CCCCC.xxxviii.; Injunctions. 1538,Church of England -- History -- Early works to 1800.; Reformation -- England -- Early works to 1800.,1,London
A00102,22841048,25804,STC 10100.3; ESTC S850,Free,"England and Wales. Sovereign (1558-1603 : Elizabeth I); Elizabeth I, Queen of England, 1533-1603.",1559,"Iniunctions geven by the Quenes Maiestie anno Domini MD.LIX., the fyrst yeare of the raigne of our Soueraigne Lady Quene Elizabeth.",Church of England -- Government.; Ecclesiastical law -- England.,36,London
A00156,99851064,16318,STC 1015; ESTC S115847,Free,"Aytoun, Robert, Sir, 1570-1638.",1624,"In obitum ThomÃŒ_ RhÃŒ_di viri vndequaque meritissimi, et serenissimo regi ab epistolis Latinis epicedium.","Reid, Thomas, d. 1624 -- Poetry -- Early works to 1800.; Funeral sermons -- 17th century.",8,London
A00157,99847661,12713,STC 10152; ESTC S112407,Free,"Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker); Parker, Matthew, 1504-1575.",1563,"Articles to be enquired of in the visitation of the moste Reuerend father in God, Matthew, by the sufferaunce of God Archebyshop of Canterbury, Primate of all Englande, and Metropolitane in the yeare of oure Lorde God, M, D. LXIII.; Visitation articles. 1563","Church of England -- Early works to 1800.; Visitations, Ecclesiastical -- England -- Early works to 1800.",12, London
A00158,22884259,25857,STC 10155.3; ESTC S857,Free,"Church of England. Province of Canterbury. Archbishop (1575-1583 : Grindal); Grindal, Edmund, 1519?-1583.",1577,"Articles to be enquired of, within the prouince of Canterburie, in the metropoliticall visitation of the Moste Reuerende Father in God, Edmonde, Archbishop of Canterburie, primate of all Englande, and metropolitane in the xviij yeare of the reygne of our most gracious souereygne Ladie Elizabeth, by the grace of God, Queene of Englande, Fraunce, and Irelande, defender of the fayth, &c.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",24, London
A00159,24399905,27630,STC 10155.7; ESTC S2631,Free,"Church of England. Province of Canterbury. Archbishop (1575-1583 : Grindal); Grindal, Edmund, 1519?-1583.",1580,"Articles to be enquired of within the prouince of Canterburie in the metropoliticall visitation of the most reuerend father in God, Edmond Archbishop of Canterburie, primate of all England and metropolitane in the xxii yeere of the reigne of our most gracious souereigne Ladie Elizabeth, by the grace of God, Queene of England, Fraunce and Ireland, defender of the faith, &c.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",22, London
A00164,99851065,16319,STC 1016; ESTC S115848,Free,"Aytoun, Robert, Sir, 1570-1638.",1626,"Lessus in funere Raphaelis Thorii medici et poetÃŒ_ prÃŒ_stantissimi, qui Londini peste extinctus bonis et doctis omnibus triste sui desiderium reliquit, Anno 1625.","Thorius, Raphael, d. 1625 -- Poetry -- Early works to 1800.; Funeral sermons -- 17th century.",7,London
A00171,23024568,26095,STC 10182.5; ESTC S2094,Free,"Church of England. Diocese of Chichester. Bishop (1628-1638 : Montagu); Montagu, Richard, 1577-1641.",1631,"Articles to be enquired of, throughout the whole diocesse of Chichester ministred and giuen in charge to the church-wardens and sidemen within the same diocesse by the reuerend father in God Richard by Gods prouidence Bishop of Chichester, in his generall visitation holden anno Domini 1631.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",20,London
A00179,20191373,23790,STC 1020.5; ESTC S1525,Free,"Boorde, Andrew, 1490?-1549.",1565,Merie tales of the made men of Gotam gathered to gether by A.B. of phisike doctour.; Merry tales of the mad men of Gotham.,,40,London
A00190,22372238,25483,STC 10227.3; ESTC S422,Free,"Church of England. Province of Canterbury. Archbishop (1611-1633 : Abbot); Abbot, George, 1562-1633.",1632,"Articles to be enquired of, in the ordinarie visitation of the most reuerend father in God, George by Gods providence, Lord Arch-bishop of Canterbury ... holden in the yeere of our Lord God, 1632, and in the two and twenty yeere of His Graces translation.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",16, London
A00191,24404091,27642,STC 10228.5; ESTC S2637,Free,"Church of England. Diocese of Lincoln. Bishop (1570-1584 : Cooper); Cooper, Thomas, 1517?-1594.",1571,"Articles to be inquired of the clergie set foorth by the reuerend father in God, Thomas Bishop of Lincoln, in his first visitation for his diocesse, anno Domini 1571.","Church of England -- Government.; Visitations, Ecclesiastical -- England.",12,London
A00193,22914254,25865,STC 10230.5; ESTC S863,Free,"Church of England. Diocese of Lincoln. Bishop (1570-1584 : Cooper); Cooper, Thomas, 1517?-1594.",1580,"Interrogatories to bee enquyred of by the churche-wardens and sworne-menne within the diocesse of Lincolne, and the trueth thereof to be by them vpon their othes duly prese[n]ted vnto the Bishop there or his deputies, at his visitation, nowe to be holden this present yeare of our Lord, 1580 with particular answere to euery interrogatorie.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",14, London
A00198,99837433,1754,STC 10248; ESTC S101624,Free,"Church of England. Diocese of London. Bishop (1539-1549, 1553-1559 : Bonner); Bonner, Edmund, 1500?-1569.",1554,Articles to be enquired of in the generall visitation of Edmonde Bisshoppe of London exercised by him the yeare of oure Lorde. 1.5.5.4. in the citie and diocese of London ...; Visitation articles. 1554,"Church of England. -- Diocese of London -- Early works to 1800.; Visitations, Ecclesiastical -- England -- London.",38, Londini
A00201,99852003,17300,STC 10250; ESTC S116787,Free,"Church of England. Diocese of London. Bishop (1570-1577 : Sandys); Sandys, Edwin, 1516?-1588.",1571,"Articles to be enquired of in the visitation of the Dioces of London, by the reuerende father in God, Edwyn Bishop of London In the thirtenth yeare of the raigne of our soueraigne ladie Elizabeth, by the grace of God Queene of Englande, Fraunce and Irelande defender of the fayth. &c. 1571.; Visitation articles. 1571","Church of England. -- Diocese of London -- Early works to 1800.; Visitations, Ecclesiastical -- England -- London.",16, London
A00211,24438958,27666,STC 10265.5; ESTC S2639,Free,"Church of England. Province of Canterbury. Archbishop (1633-1645 : Laud); Laud, William, 1573-1645.",1635,"Articles to be inquired of in the metropoliticall visitation of the most reverend father, VVilliam, by Gods providence, Lord Arch-bishop of Canterbury, primate of all England, and metropolitan in and for the dioces of London, in the yeere of our Lord God 163[blank], and in the [blank] yeere of His Graces translation.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",13,  London
A00214,99837436,1757,STC 10267; ESTC S101627,Free,"Church of England. Diocese of London. Bishop (1633-1660 : Juxon); Juxon, William, 1582-1663.; Heylyn, Peter, 1600-1662.",1640,"Articles to be enquired of vvithin the diocesse of London In the third trienniall visitation of the Right Honourable, and Right Reverend Father in God, William, Lord Bishop of London, Lord High Treasurer of England. Holden in the yeare of our Lord God, 1640; Visitation articles. 1640","Church of England -- Pastoral letters and charges -- Early works to 1800.; Visitations, Ecclesiastical -- England -- London -- Early works to 1800.",28,London
A00215,33149764,28485,STC 10268.3; ESTC S3426,Free,Church of England. Archdeaconry of London.; England and Wales. Privy Council.; Church of England. Diocese of London. Bishop (1611-1621 : King),1615,"Articles to be inquired of by the minister, churchwardens, and sidemen of euery parish, and precinct, within the archdeaconrie of London according to the speciall direction of certaine letters heretofore sent to the Lord Bishop of London, from the right honourable lords of the Privie Councell.","Church of England -- Pastoral letters and charges.; Anti-Catholicism -- England -- London.; Visitations, Ecclesiastical -- England -- London.; Great Britain -- History -- James I, 1603-1625.; Broadsides -- London (England) -- 17th century.",1,London
A00227,99837440,1761,STC 10285; ESTC S101631,Free,"Church of England. Diocese of Norwich.; Cranmer, Thomas, 1489-1556.; Church of England. Province of Canterbury. Archbishop (1533-1556 : Cranmer)",1549,"Articles to be inquired of in the visitation to be had in the byshopricke of Norwyche, now vacant in the fourth yere of our most drad souerayn lorde Edwarde the sixte ... by the moste Reuerend father in God, Thomas Archebyshop of Cantorbery, prymate of all England and metropolitan.; Visitation articles. 1549","Church of England. -- Diocese of Norwich -- Early works to 1800.; Visitations, Ecclesiastical -- England -- Norwich.",10,Londini
A00229,99855751,21253,STC 10287; ESTC S120555,Free,"Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker); Parker, Matthew, 1504-1575.; Church of England. Diocese of Norwich.",1567,"Articles to be enquired of within the dioces of Norwiche, in the metropoliticall visitation of the moste Reuerend father in God, Mathew, by the prouidence of God, Archebyshop of Canterbury Primate of all Englande, and Metropolitane, in the yeare of our Lorde God, M. D. LXVII.; Visitation articles. 1567","Church of England -- Early works to 1800.; Visitations, Ecclesiastical -- England.",14, London
A00230,23026350,26103,STC 10289.7; ESTC S2099,Free,"Church of England. Province of Canterbury. Archbishop (1604-1610 : Bancroft); Bancroft, Richard, 1544-1610.",1605,"Articles to be inquired of, in the first metropoliticall visitation, of the most reuerend father, Richarde by Gods prouidence, archbushop [sic] of Canterbury, and primat of all Englande in, and for the dioces of Noruuich, in the yeare of our Lorde God 1605, and in the first yeare of His Graces translation.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",16, London
A00233,99857650,23417,STC 10298; ESTC S122526,Free,"Church of England. Diocese of Norwich. Bishop (1635-1638 : Wren); Wren, Matthew, 1585-1667.",1636,"Articles to be inquired of vvithin the dioces of Norwich in the first visitation of the R. Reverend Father in God, Matthevv, Lord Bishop of Norwich.; Visitation articles. 1636","Church of England. -- Diocese of Norwich -- Early works to 1800.; Visitations, Ecclesiastical -- England -- Norwich -- Early works to 1800.",20,  London
A00234,19999272,23599,STC 1030.7; ESTC S1049,Free,G. B.,1591,"Newes out of France for the gentlemen of England a stratagem most ventrously attempted, and valiantly atchiued by the French King, the 27. day of Iuly. anno Domini 1591 : wherein is desciphered, what trust His Royall Maiestie reposeth on the valour of the English, and their duetifull seruice vnto him at all assayes : newes also touching 16. shippes taken nigh the hauen of deepe, and the discomfiture of the Popes forces transported into France towards the ayde of the leaguers, both concurring on the 28. of Iuly last past : vvith a report of the princely meeting, and honorable conioyning of the whole power of the French King the sixt day of this present moneth of August, consisting of English, Germane, and his owne people.","France -- History -- Henry IV, 1589-1610.",23, London
A00235,99848676,13787,STC 1030; ESTC S113442,Free,"G. B., fl. 1592-1597.",1635,"A new song, called Jacke Doues resolution by which he doth show, that he cares not a rush how ere the world goe. To the tune of, To driue the cold winter away.; Jacke Doves resolution","Ballads, English -- 17th century.",2,  London
A00249,99851842,17134,STC 1032; ESTC S116626,Free,"H. B., fl. 1588.",1588,A consolatory letter to all the afflicted Catholikes in England,Catholics -- England.,112, Roan in Normandy i.e. London
A00254,22915746,25879,STC 10326.5; ESTC S871,Free,"Church of England. Diocese of Salisbury. Bishop (1559-1571 : Jewel); Jewel, John, 1522-1571.",1569,"Iniunctions giuen by the Reuerend Father in Christ John by Gods prouidence, Bishop of Sarisburie [sic], aswel to the cleargie, as to the churche wardens and enquirers of euerye seueral parish, aswel of his peculiar as general iurisdiction within and of the diocesse of Sarum to be obserued and kept of euery of them in their offices and callings, as to them shal appertaine, for the aduauncement of Gods honor, thincrease of vertue, and good order to be continued within his sayd diocesse, and the same to be enquired of and put in vse by all the Archdeacons, commissaries, and other officers excercising ecclesiastical iurisdiction vnder the sayde Bishop according to the limittes of their seueral offices and iurisdictions, in their synodes, visitations, inquiries, and courts.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",18, London
A00256,23030244,26113,STC 10329.3; ESTC S2106,Free,"Church of England. Diocese of Salisbury. Bishop (1618-1619 : Fotherby); Fotherby, Martin, Bishop of Salisbury, 1559-1619.",1619,"Articles to be enquired of, vvithin the Diocesse of Sarisbury, in the first visitation of the right reuerend father in God, Martin, by the prouidence of God, Lord Bishoppe of Sarum holden in the yeere of our Lord God, 1619.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",20, London
A00257,99852480,17804,STC 1033; ESTC S117265,Free,"H. B., fl. 1566.",1566,The true discripcion of a childe with ruffes borne in the parish of Micheham in the cou[n]tie of Surrey in the yeere of our Lord. M.D.LXvi,Skin -- Diseases -- Early works to 1800.; Monsters -- Early works to 1800.,4, London
A00259,99854116,19523,STC 1034; ESTC S118909,Free,"H. B., fl. 1593.; Broughton, Hugh, 1549-1612, attributed name.",1593,"Moriemini. A verie profitable sermon preached before her Maiestie at the court, about xiij. yeares since: by H.B.","Sermons, English -- 16th century.",27,London
A00260,24450190,27683,STC 10349.5; ESTC S2651,Free,Church of England. Archdeaconry of Surrey.,1626,"Articles to be enquired of, by the church-vvardens, and sworne-men, in the visitation of the right worshipfull, the Archdeacon of Surrey","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",12,  London
A00261,99839524,3953,STC 1035; ESTC S103779,Free,"I. B., fl. 1547.; Bale, John, 1495-1563, attributed author.; Bradford, John, 1510?-1555, attributed author.",1547,A bryefe and plaine declaracion of certayne sente[n]ces in this litle boke folowing to satisfie the consciences of them that haue iudged me therby to be a fauourer of the Anabaptistes.; Brife and faythfull declaration of the true fayth of Christ,Protestantism -- Apologetic works -- Early works to 1800.; Christian life -- Protestant authors -- Early works to 1800.; Anabaptists -- Controversial literature -- Early works to 1800.,42,London
A00263,22916244,25883,STC 10356.5; ESTC S874,Free,"Church of England. Diocese of Winchester. Bishop (1597-1616 : Bilson); Bilson, Thomas, 1546 or 7-1616.",1603,"Articles to be enquired of by the church-wardens and sworne-men, within the diocesse of Winchester in the visitation of the Reuerend Father in God, Thomas Bishop of Winton, in his triennall visitation, holden 1603 in the first yeere of the raigne of Our Most Gracious Soueraigne Lord, Iames by the grace of God King of England, Scotland, France, and Ireland, defender of the faith, &c.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",17,  London
A00265,23030930,26115,STC 10372.2; ESTC S2107,Free,"Church of England. Archdeaconry of Worcester.; Johnson, John, Archdeacon of Worcester.",1609,"Articles to be inquired of, by the churchwardens and sworne men within the Archdea[c]onrie of Worcester in the visitation of the R. Worshipful M. Iohn Iohnson Doctor of Divinitie, Archdeacon of the Archdeaconry of Worcester aforesaide, in this present yeare of our Lorde God, 1609.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",10, London
A00267,99847124,12141,STC 10375; ESTC S111863,Free,"Church of England. Province of York. Archbishop (1570-1576 : Grindal); Grindal, Edmund, 1519?-1583.",1571,"Iniunctions giuen by the most reuerende father in Christ, Edmonde by the prouidence of God, Archbishop of Yorke primate of England, and Metropolitane, in his Metropoliticall visitation of the prouince of Yorke, aswell to the clergie, as to the laytie of the same prouince. Anno do. 1571.; Visitation articles. 1571","Church of England -- Early works to 1800.; Visitations, Ecclesiastical -- England.",46, London
A00268,99847128,12146,STC 10376; ESTC S111867,Free,"Church of England. Province of York. Archbishop (1576-1588 : Sandys); Sandys, Edwin, 1516?-1588.",1577,"Articles to be enquired off, within the prouince of Yorke, in the Metropoliticall visitation of the most reuerend father in God Edwin Archbishoppe of Yorke, primate of England and Metropolitane. In the .xix. and .xx. yeare, of the raigne of our most gratious souereigne Lady Elizabeth by the grace of God of England, Fraunce and Ireland Queene, defendor of the fayth, &c. 1577. &. 1578.; Visitation articles. 1577-1578","Church of England -- Early works to 1800.; Visitations, Ecclesiastical -- England.",18, London
A00271,99851846,17138,STC 1038; ESTC S116630,Free,"Verstegan, Richard, ca. 1550-1640.",1589,"The copy of a letter lately vvritten by a Spanishe gentleman, to his freind in England in refutation of sundry calumnies, there falsly bruited, and spred emonge the people. The originall vvhereof vvas vvritten in Spanish, since the authors being in England, vvho by reason of a ship of those that miscaried of the late Armado, vvas taken, and there detained prisoner, vntill his deliuery by ransome. Now newly translated into Englishe, for the benefite of those (of that nation) that vnderstand not the Spanishe tounge.","Great Britain -- History -- Elizabeth, 1558-1603 -- Early works to 1800.",40,Antwerp
A00275,99847131,12149,STC 10389; ESTC S111870,Free,"Whittingham, William, d. 1579, attrib. name.",1566,To my faythfull bretheren now affycted ...,Church vestments -- England -- Early works to 1800.,58,Emden
A00277,99847135,12155,STC 10390; ESTC S111875,Free,"Gilby, Anthony, ca. 1510-1585.; Pilkington, James, 1520?-1576.",1566,"To my louynge brethren that is troublyd abowt the popishe aparrell, two short and comfortable epistels. Be ye constant: for the Lorde shall fyght for yow, yowrs in Christ",Church vestments -- England -- Early works to 1800.,58,Emden
A00281,99836929,1225,STC 10393; ESTC S101105,Free,"Northampton, Henry Howard, Earl of, 1540-1614.",1574,A defense of the ecclesiasticall regiment in Englande defaced by T. C. in his replie agaynst D. VVhitgifte. Seene and allowed according to the order appoynted in the Queenes Maiesties iniunctions.,"Cartwright, Thomas, 1535-1603. -- Replye to an answere made of M. Doctor Whitgifte -- Controversial literature -- Early works to 1800.; Whitgift, John, 1530?-1604.; Church of England -- Discipline -- Early works to 1800.",200, London
A00283,99847149,12169,STC 10395; ESTC S111889,Free,"Fenner, Dudley, 1558?-1587, attributed name.; Fulke, William, 1538-1589, attributed name.; Travers, Walter, 1547 or 8-1635, attributed name.",1584,"A briefe and plaine declaration, concerning the desires of all those faithfull ministers, that haue and do seeke for the discipline and reformation of the Church of Englande which may serue for a iust apologie, against the false accusations and slaunders of their aduersaries.",Church of England -- Government -- Early works to 1800.; Reformation -- England -- Early works to 1800.,158, London
A00285,23031208,26117,STC 10404.7; ESTC S124184,Free,Church of England.,1630,Instructions for the clergie,Church of England -- Clergy.,1,S.l.
A00287,33143102,28231,STC 10406.5; ESTC S3172,Free,,1621,"The effect of a bill exhibited in Parliament by Sir Francis Englefield, Barronet",England and Wales. -- Court of Chancery -- Cases.; Broadsides -- London (England) -- 17th century.,1,London
A00289,99835829,54,STC 10406; ESTC R212270,Free,,1640,"A very lively portrayture, of the most reverend arch-bishops, the right reverend bs. of the Church of England set forth in XX. irrefragable positions, concerning their authority, power, and practise, as they onely are our diocesan lord bishops, so grounded upon Scripture, reason, and experience, by evident demonstrative practises, as their troublesome opposites, may cleerely see, how greatly they are deceived in all these. A labour undertaken for the peace of all Gods people, and for a just condemnation of al those, that cause division, and offences, contrary to the doctrine and discipline of Christs Church.","Church of England -- Bishops -- Controversial literature -- Early works to 1800.; Church of England -- History, (17th century) -- Early works to 1800.",65,London?
A00293,99855427,20920,STC 10413; ESTC S120228,Free,"Deloney, Thomas, 1543?-1600, attributed name.",1640,"A most sweet song of an English merchant, borne at Chichester To an excellent new tune.","Ballads, English -- 17th century.",2,  London
A00301,99837460,1781,STC 10423; ESTC S101652,Free,"Epictetus.; Sandford, James.",1567,"The manuell of Epictetus, translated out of Greeke into French, and now into English, conferred with two Latine translations. Herevnto are annexed annotations, and also the apothegs of the same author. By Ia. Sanford; Manual. English","Ethics, Ancient.",96, London
A00303,99837454,1775,STC 10425; ESTC S101646,Free,"Epictetus.; Cebes, of Thebes, attributed name.; Healey, John, d. 1610.",1610,"Epictetus his manuall. And Cebes his table. Out of the Greeke originall, by Io: Healey; Manual. English","Ethics, Ancient -- Early works to 1800.",178, London
A00313,24457166,27691,STC 10441.5; ESTC S2657,Free,"Erasmus, Desiderius, d. 1536.; Robertson, Bartholomew, fl. 1620.",1621,Adagia in Latine and English containing five hundred proverbs : very profitable for the vse of those who aspire to further perfection in the Latine tongue.; Adagia. Latin & English. Selections. 1621,Proverbs.,52,London
A00316,99841226,5790,STC 10443; ESTC S105498,Free,"Erasmus, Desiderius, d. 1536.; Udall, Nicholas, 1505-1556.",1542,"Apophthegmes that is to saie, prompte, quicke, wittie and sentencious saiynges, of certain emperours, kynges, capitaines, philosophiers and oratours, aswell Grekes, as Romaines, bothe veraye pleasaunt [et] profitable to reade, partely for all maner of persones, [et] especially gentlemen. First gathered and compiled in Latine by the ryght famous clerke Maister Erasmus of Roterodame. And now translated into Englyshe by Nicolas Vdall.; Apophthegmata. English",Aphorisms and apothegms.,774,London
A00320,99837483,1808,STC 10449; ESTC S101675,Free,"Erasmus, Desiderius, d. 1536.",1534,Bellum ErasmiÃ¥Ã¡ Translated into englyshe; Adagia. Chil. IV Cent. I. English,War -- Early works to 1800.,81,Londini
A00321,23225987,26402,STC 1045.5; ESTC S4124,Free,"I. B.; Bate, John.; Bennet, John, Sir, d. 1627.",1625,"The psalme of mercy, or, A meditation vpon the 51. psalme by a true penitent.",Miserere -- Meditations.,392,London
A00325,99854394,19813,STC 10450.6; ESTC S119187,Free,"Erasmus, Desiderius, d. 1536.",1519,Familiarium colloquiorum formulae. Et alia quedam per Erasmu[m] recognita; Colloquia. Selections,"Dialogues, Latin (Medieval and modern) -- Early works to 1800.",74,Londini
